genic_region_type,BUD13,ILF3,IGF2BP1,KHSRP,SMNDC1,AQR,DDX6,U2AF1,FASTKD2,PCBP1,TAF15,EWSR1,LSM11,TARDBP,DROSHA,FUS,SLBP,HNRNPL_CST,LIN28B,LARP7,SAFB,HNRNPL_Bethyl,TRA2A,DHX30,PUM1_Bethyl,HNRNPK,DGCR8,PTBP1,IGF2BP2,RBM15,HNRNPA1,HNRNPC,SSB,NOLC1,RPS3,HNRNPM,RBFOX2,DDX55,UPF1,PUM1_CST,CPSF6
CDS,51.25101959076039,1.3455303412474433,14.052515741544827,36.008345356257955,0.0,55.08474576271186,7.077287533313593,41.25456460690721,40.289736788410536,0.0,13.470452035157818,34.936647419141245,0.0,35.34881080260487,3.7953022998411337,8.710839560867555,21.54276784641011,2.0773821034604856,29.21782178217822,0.31573349492424646,0.19611182457853768,0.3726088167942255,42.87872706546575,22.02202202202202,31.59012718235178,3.2038400520685033,5.773462900406632,2.3702254388466217,35.45203316225819,41.275618916661465,0.9786430127999025,1.5325403943587954,2.7531956735496568,4.517030179769503,20.757768586276384,0.40785665044376823,3.51980644759771,18.99841017488077,4.681205712986794,0.7883476935701307,1.9153672654475355
miRNA,0.433154314147973,0.013143473037393306,0.08160312072596494,0.46492281036750027,0.0,0.0,0.0,0.36483833944306254,0.0,0.0,0.18120539872986074,0.24985413988067698,0.0,0.38640875730027585,9.004843075008466,0.0,0.0,0.0,0.8885562974902141,0.0,0.0,0.0,0.16582744788483114,0.0,0.23435368143950955,0.0,23.957833343899146,0.007692381097639381,0.0,0.3271721034359321,0.0,0.0,0.0,0.23377048413867266,0.0,0.0,0.0,0.0,0.0196405944514743,0.0,0.03493968258586256
distnoncoding_intron500,1.6083075816622767,11.738978560522106,0.5038603923661386,1.3877266273526585,0.0,0.0,0.0,1.567663265628634,0.652927973882881,0.0,3.7715677669908425,1.0102746329214416,0.0,1.0238865258030732,0.06607947709107127,0.5221391884326088,6.38813044150224,11.178587583334565,0.0,0.03216037898118823,2.20041464139428,7.427687659448494,0.8548201079649644,0.0,1.6099776882453978,2.6807143147703707,0.0,13.378462723895437,0.0,0.838271976726347,4.887751306573531,2.88574799248545,1.807730126314198,2.5825794235219863,0.0,6.631380231008853,0.4663772715957182,0.0,2.4472613934944,1.7862376179590875,4.844098188257949
3utr,2.988460717616482,7.095221549825665,16.32422548652894,5.290196007788563,0.0,0.0,0.0,2.9458785391182274,2.122015915119363,0.0,1.5109429817409805,3.592758810076239,0.08154373947940147,5.896734498360468,3.5429612966996054,1.2158905576787322,9.30572012432813,4.172416240787064,11.259037531660143,0.06113312471693975,0.5381996639076042,1.424098163675783,2.311926041359277,0.0,3.227981187498997,2.7986820160273362,12.821163024479482,5.863638797096627,30.754046585076978,4.980311716943288,6.899885050949537,1.8387200081751307,0.0,0.26883605675947353,0.689362604730088,1.2658188716652978,1.8192214339058999,81.00158982511924,77.51887013436767,77.1159369321845,4.139759231953996
5utr,3.8620197690974107,0.44818652149924404,1.5075705924288345,3.520656230604334,0.0,29.66101694915254,0.0,3.3846374472071754,21.118139155274434,0.0,1.1782131937758735,2.809911459979181,0.0,2.5840854227066603,0.47067860869660977,1.7611547917528785,0.20521010423642957,0.25249902216475134,0.8560902601888095,0.013855158363828887,0.0,0.0875606230789994,2.057653945988109,0.0,4.605210356506525,3.33482487898141,1.140202320252855,0.8375799665552868,12.554283458349783,2.4371423863449118,0.23494156931721946,1.7910013348454892,3.62680583919522,0.12798934006592333,0.0,0.8230295773356181,0.5118869803335823,0.0,0.36252782537894074,1.2264814489185865,1.2282360589261974
noncoding_exon,3.961479203272047,1.776310413547519,8.920686186482364,12.548739926535971,0.0,15.254237288135593,6.5146579804560245,13.811069970747832,8.761477249540912,100.0,44.566224807179786,18.406382283414665,0.15337989092554086,3.433562090279798,1.2136597292393425,82.32942236070203,3.2970995827108336,2.4629166780287757,17.588303016348146,1.1908492833348323,93.81070386506255,2.0505457165495566,2.645034684404834,0.0,6.473619159216039,4.878981409917424,5.209248408335522,4.630729315687007,0.0,9.491229764820194,50.30586534359679,13.18958273076723,13.648740639891082,29.388456413493238,23.056527733587867,6.18050181412742,8.152072442120986,0.0,1.7608515006425074,6.8137858273254786,3.4985103420808357
distintron500,10.35021298118106,58.50505107805182,36.76773067205122,10.802863885208772,100.0,0.0,8.291382884216759,13.376556660092282,3.546215058151398,0.0,5.280383924803068,11.1922388333928,98.7557784417768,20.79742249711637,13.67556078072902,1.3625520313526933,0.0,52.07697618994588,8.949113516002765,0.6265435167169272,2.205541180007542,30.40756232096056,26.65544217812114,0.0,14.611791521533252,67.47671154863117,8.289334263125005,54.57659636720995,0.0,11.223912314694335,30.212687265032162,64.10746008009073,1.8512215414870286,25.228510648245557,0.5833068193869976,49.691685927709,48.880538959422445,0.0,4.425054813144294,1.5210128362933,63.00909896450027
proxnoncoding_intron500,0.9070630231341125,0.7733292003568407,0.04730852936771087,0.9306644351245171,0.0,0.0,0.0,0.6149040282700181,2.2832075086717,0.0,0.8678859511936445,1.2902549909956957,0.0,1.4412057895076797,0.6139884746378708,0.13388184318784838,1.0303436195971356,1.9123938718299975,0.27607644485378774,0.08385684686262723,0.07107641670591222,1.2054959120236137,0.8268145857304846,0.0,2.3515626254032975,2.0794858235365905,0.6882873418523985,1.1512256457127996,0.0,2.5393623610029947,0.46631068185591223,2.328178560903352,1.807730126314198,0.8883278397269561,0.0,0.1463255289616349,1.1976443863579784,0.0,0.409939642720257,0.0,1.0733311981444422
miRNA_proximal,0.20687094539086504,0.054836224053247874,2.4065144990820673,1.7081286979704866,0.0,0.0,78.11667160201361,1.0145562666669181,0.0,0.0,0.21131177301022627,0.1645425862193544,0.0,0.007131083997449814,57.16287765109486,0.32801051581022855,0.0,0.15143696506583398,0.0,0.015022905196315607,0.0,2.118134463512961,0.003659432797942164,0.0,1.0369347822597474,0.0,27.637453699091637,0.19915277059155476,10.225029609159101,0.0,0.3690137707701587,0.004995406051238726,0.4160048407836019,0.0,0.0,0.02261862930075976,11.512789395070948,0.0,0.0,0.0,0.03283542634513765
proxintron500,23.937681443301983,7.011489944778843,10.453875411596481,23.46353573879166,0.0,0.0,0.0,15.93283087473931,19.677616812895334,0.0,8.133163754572081,22.508838800779092,0.13367348721801886,25.63216031115662,6.616620640475332,3.490664784206811,0.0,7.993269745766998,26.825696523140685,0.18257879529555834,0.14423820505111767,3.0872330190075665,20.741514711086946,0.0,25.267928324157158,3.268112109994713,12.038688993742019,9.15690144549157,11.014607185155942,21.20868443631281,3.6995942109388626,6.112301290046506,2.227516829286741,0.7936507936507938,0.7954183900731784,4.0906229036549435,16.332928802588995,0.0,2.3940440474990448,2.1965300978840627,11.115629507441016
